DatabaseColumnName,Description,CategoricalValues
PropertyID,Data's unique identifier.,
StatusChangeDate,The transactional timestamp documenting the date and time for every record change.,
SitusCounty,County where the property is situated.,orange
Township,A subdivision of the county.,
MLSListingAddress,"The full listing addressed, unparsed, including street name, number and direction.",
MLSListingCity,The city in the listing address.,"laguna beach, placentia, buena park, orange, north tustin, santa ana heights, cowan heights, costa mesa, trabuco canyon, cypress, outside area (inside ca), long beach, foothill ranch, aliso viejo, san clemente, modjeska canyon, out of area, villa park, rossmoor, stanton, fullerton, tustin, surfside, laguna niguel, silverado canyon, huntington beach, westminster, rancho mission viejo, rancho santa margarita, ladera ranch, midway city, sunset beach, la mirada, laguna woods, dana point, coto de caza, silverado, newport, newport coast, la harbra, san juan capistrano, brea, lake forest, la habra heights, irvine, anaheim hills, la habra, orange park acres, anaheim, unknown, corona del mar, fountain valley, yorba linda, ross, newport beach, santa ana, capistrano beach, lake forest (el toro), la palma, garden grove, los alamitos, laguna hills, seal beach, mission viejo"
MLSListingState,The state in the listing address.,
MLSListingZip,The postal ZIP code in the listing address.,
MLSListingCountyFIPS,"The county, parish or other regional authority where the listing address is located.",
AssessorLastSaleAmount,Amount paid by primary owner as provided by the assessor.,
MarketValue,Data's estimated market value of the property.,
MarketValueDate,The date when the market value was determined.,
AvgMarketPricePerSqFt,"The average market price per square foot for residential properties only, calculated value within a zip, and for properties that have sold within the last three months. Provided for valuation purposes.",
ListingDate,"The date the listing was placed on market. Where possible, this date is reflective of the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.",
LatestListingPrice,"The most recent listing price for the property. If property is off market, this would be the last listing price prior to the property being removed from market.",
SpecialListingConditions,"A list of options that describe the type of sale.  i.e. Standard, REO, Short Sale, Probate, Auction, NOD, etc., at the time of listing.","short sale, auction, short pay, real estate owned, conservatorship, not applicable, third party approval, standard, trust, court confirmation may be required, hud owned, probate listing, bankruptcy property, in foreclosure, notice of default"
OriginalListingDate,The transactional timestamp automatically recorded by the MLS system representing the date/time the listing was entered and made visible to members of the MLS.,
OriginalListingPrice,The original price of the property on the initial agreement between the seller and the seller's broker.,
NumberOfLeaseOption,Indicates if the seller will consider leasing the property instead of selling.,
LeaseTerm,"A pick list of lengths that represent the length of the lease (e.g. Weekly, Month to Month, 6 Month Lease, 12 Month Lease, 24 Month Lease)",
LeaseDetails,A list of features included in the lease of the property.,"sewer, pool, gas, gardener, see remarks, electricity, cable tv, trash removal, association fees, trash collection, maid service, all utilities, water, pool/spa, association dues"
MLSPropertyType,"A list of types of properties such as Residential, Lease, Income, Land, Mobile, Commercial Sale, etc.","lots and land, mobile home, business opportunity, manufactured home, residential, commercial sale, residential income, residential lease"
MLSPropertySubType,"A list of types of residential and residential lease properties, i.e. SFR, Condo, etc. Or a list of Sub Types for Mobile, such as Expando, Manufactured, Modular, etc.",
OwnershipDetails,"Identifies the ownership/interest rights to the property (e.g. Fee Simple, Condominum, Cooperative). ",
Latitude,"The geographic latitude of some reference point on the property, specified in degrees and decimal parts. Positive numbers must not include the plus symbol.",
Longitude,"The geographic longitude of some reference point on the property, specified in degrees and decimal parts. Positive numbers must not include the plus symbol.",
APNFormatted,Primary Parcel Number and unique identifier within the county/jurisdiction,
LegalDetails,"The full legal description for the property. An example would read ""Lot 12 of Block 45 of Tract 3002 of the City of San Dunes, Desert County."" Such a description would also reference an official plat filed with the clerk or recorder for that area which shows the location of the block and often the dimensions of the lots therein. The text here is also an index into the property as described by the County Recorder.",
LegalSubdivision,"The name of the legal subdivision for the property. This is typically a neighborhood, community, complex or builder tract.",
DaysOnMarket,The number of days the listing is on market.,
ListingAgentFullName,The full name of the listing agent. (First Middle Last),
ListingAgentPreferredPhone,Preferred phone number for contacting the listing agent. Includes phone extension when available. ,
ListingAgentEmail,The email address of the Listing Agent.,
ListingOfficeName,The legal name of the brokerage representing the seller.,
ListingOfficePhone,The primary phone number for the listing agent's office. Includes phone extension when available. ,
ListingOfficeEmail,The email address of the Listing Office.,
PublicListingRemarks,"Text remarks that may be displayed to the public. In an MLS, it is the field where information is entered for the public. This information is intended to be visible on-line. This is typically information that describes the selling points of the building and/or land for sale. Local conditions and rules will determine what such content can contain. Generally, the following information is excluded: any information pertaining to entry to the property, the seller and/or tenant, listing member contact information. In other systems, these remarks will be determined by local business rules.",
HomeWarrantyYN,"A True/False flag to indicate if a home warranty is included in the sale of the property. If field is blank, then the availability of home warranty could not be confirmed.",
YearBuilt,The year that the property was built or an occupancy permit is first granted for the house or other local measure of initial habitability of the build.,
NewConstructionYN,A True/False flag indicating if the property is newly constructed and has not been previously occupied. ,
AdditionalParcelsYN,"A True/False flag to indicate if there is more than one parcel or lot included in the sale. If field is blank, then the presence of additional parcels could not be confirmed.",
NumberOfLots,Total number of lots on the property or included in the sale. Land properties are often sold with multiple lots. It is important to be able to describe how many lots are in the property and not in all cases do lots have separate Parcel IDs.,
LotSizeSquareFeet,The total lot size in sqare feet.,
LotSizeAcres,The total lot size in acres.,
LotSizeSource,Indicates the source of the measurements for the lot size entered into the MLS.,
LotDimensions,Indicates the dimensions of the polygon that make up the lot lines of the property.,
LotFeatureList,A list of features or description of the lot included in the sale/lease.,
FrontageLength,Textual description of the length of the frontages selected in the Frontage Type field.,
